,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
居民恩格尔系数(%),29.8,30.2,28.2,28.4,29.3,30.1,30.6,31.0,31.2,33.0
城镇居民恩格尔系数(%),28.6,29.2,27.6,27.7,28.6,29.3,29.7,30.0,30.1,32.0
农村居民恩格尔系数(%),32.7,32.7,30.0,30.1,31.2,32.2,33.0,33.6,34.1,35.9
