,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
低收入组家庭城镇居民人均可支配收入(元),,15598,15549,14387,13723,13004,12231,11219,9896,
中间偏下收入组家庭城镇居民人均可支配收入(元),,27501,26784,24857,24550,23055,21446,19651,17628,
中间收入组家庭城镇居民人均可支配收入(元),,39278,37876,35196,33781,31522,29105,26651,24173,
中间偏上收入组家庭城镇居民人均可支配收入(元),,54910,52907,49174,45163,41806,38572,35631,32614,
高收入组家庭城镇居民人均可支配收入(元),,96062,91683,84907,77097,70348,65082,61615,57762,
