,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
低收入组家庭农村居民人均可支配收入(元),,4681,4263,3666,3302,3006,3086,2768,2878,
中间偏下收入组家庭农村居民人均可支配收入(元),,10392,9754,8508,8349,7828,7221,6604,5966,
中间收入组家庭农村居民人均可支配收入(元),,14712,13984,12530,11978,11159,10311,9504,8438,
中间偏上收入组家庭农村居民人均可支配收入(元),,20884,19732,18051,16944,15727,14537,13449,11816,
高收入组家庭农村居民人均可支配收入(元),,38520,36049,34043,31299,28448,26014,23947,21324,
