,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
低收入组家庭居民人均可支配收入(元),8333,7869,7380,6440,5958,5529,5221,4747,4402,
中间偏下收入组家庭居民人均可支配收入(元),18445,16443,15777,14361,13843,12899,11894,10887,9654,
中间收入组家庭居民人均可支配收入(元),29053,26249,25035,23189,22495,20924,19320,,15698,
中间偏上收入组家庭居民人均可支配收入(元),44949,41172,39230,36471,34547,31990,29438,26937,24361,
高收入组家庭居民人均可支配收入(元),85836,80294,76401,70640,64934,59259,54544,,47457,
